,HIV/AIDS,Diarrheal diseases,Nutritional deficiencies,Neonatal disorders,Neoplasms,Protein-energy malnutrition,Lower respiratory infections,Alzheimer's disease and other dementias,Exposure to forces of nature,Cardiovascular diseases,Tuberculosis,Chronic kidney disease,Conflict and terrorism,Diabetes mellitus,Drowning,Malaria,Meningitis,Parkinson's disease,Acute hepatitis,Maternal disorders,Self-harm,Cirrhosis and other chronic liver diseases,Digestive diseases,Road injuries ,Interpersonal violence,Environmental heat and cold exposure,Drug use disorders,"Fire, heat, and hot substances",Alcohol use disorders,Poisonings
2000,0.00038412001561118634,9.506897558313556e-05,8.257308756050405e-05,5.62989237188399e-05,-0.00011726910510829634,8.72020540450294e-05,2.2423413214521775e-05,-0.00013036167738653365,-0.00023034156564484128,-0.00010970956730049948,9.125993783472351e-05,-6.256930347327012e-05,4.29972139525673e-06,-4.953564780911014e-05,2.114796738834061e-05,9.681682531504287e-06,1.4182863221800525e-05,-1.9795302281974594e-05,9.366535167167056e-06,1.3749758372695012e-05,1.6729982964053952e-05,-6.497730592650616e-06,-7.466304149678776e-06,1.5772081008959737e-06,8.747430546970854e-06,2.5048577761764315e-06,4.612469480003121e-07,1.9877050227237814e-06,1.6536935365055611e-06,4.5251114611301695e-07
2001,0.0005757810404581473,4.4142125748885966e-05,4.419552844563894e-05,3.275754748951554e-05,-8.785773101377837e-05,4.982734085747051e-05,2.7478526074799442e-06,-9.785342767716925e-05,-3.812826669427396e-05,-6.963503911224097e-05,5.6168557924515935e-05,-4.12341548297094e-05,-7.620508500873565e-05,-3.1426760039991643e-05,1.0095261013630852e-05,2.1971822343029362e-05,8.421284377233018e-06,-1.2968495846164368e-05,5.0835545940588605e-06,8.745925936381197e-06,6.055261936896146e-06,-3.0418505344288705e-06,-4.6412886010130405e-06,2.08447992166628e-06,7.541027915024121e-06,3.1713232196420985e-06,4.41488718228426e-09,1.4851870557728387e-06,3.2784393447328404e-06,4.1887456340947995e-07
2002,0.0007327357113571173,9.283561600442703e-06,1.687717485512343e-05,1.5778922208697465e-05,-6.264476749683013e-05,2.266696583948821e-05,-8.684895393111123e-07,-7.044808178840903e-05,-0.000233271351063677,-3.233669727508576e-05,2.619610108623295e-05,-2.4567537962645754e-05,-8.18417218024895e-05,-1.6029346123293904e-05,1.932820867342098e-06,2.6204862265867264e-05,3.0749748856776285e-06,-7.485377263053046e-06,1.353461882041991e-06,3.627986087810823e-06,1.5353864512492477e-06,-8.788055310929744e-07,-2.4853981280192547e-06,2.0768355218001282e-06,1.0993897136003447e-05,5.5584327530738305e-06,-4.301369833363639e-07,7.022041394581056e-07,4.87247013391768e-06,3.3980920666019045e-07
2003,0.0008714754181122055,-3.1543946055685214e-08,-2.5104259779910442e-05,7.665339286189328e-06,-3.20797597734132e-05,-2.0403707197840545e-05,-8.621816557338562e-06,-4.366644961624759e-05,-1.8776618960699397e-05,-1.1849108365302383e-05,8.948480184286318e-06,-1.1650919463507162e-05,-6.490560757049763e-05,-6.079757612465636e-06,-5.0762305083861724e-08,4.552031853843994e-05,1.6155723918199268e-06,-3.674487278488222e-06,6.981497656725358e-08,9.314908892358036e-07,1.4645916155831679e-06,4.435916806507252e-09,-5.78870012175333e-07,3.001306615953988e-06,2.959070234436075e-06,7.510390741227366e-06,-1.5920442857823448e-06,5.964729284747554e-07,6.780483920069773e-06,4.1305194729926667e-07
2004,0.0009436095835465442,-1.3476613901923333e-05,-5.454910047558172e-05,2.207158799646448e-06,-1.4275951102828447e-05,-4.513864927607362e-05,-2.6728432485554048e-05,-2.2942816914873283e-05,0.0010008328779991715,-1.489338851234142e-05,7.867052005575042e-09,-5.488463878273412e-06,-6.799438981213541e-05,-2.7036522729144234e-06,-1.7894826739223212e-06,4.314239793715071e-05,2.988663581748123e-07,-1.8040478009078836e-06,-3.9348884850967064e-08,1.216071567020183e-07,1.6889367284561834e-06,3.3671269463015035e-07,-3.062043924210588e-07,4.028388584831192e-06,1.0407297509650634e-06,2.4685910611735876e-06,-2.017426833396594e-06,1.0656267616343976e-07,7.426466117214562e-06,5.341687658289437e-07
2005,0.0008883310504816458,-3.375273125284274e-05,-8.566848969020322e-05,-2.2145965522821714e-09,-1.9267968934664386e-06,-7.277610953952413e-05,-4.099259682372315e-05,-7.901215450200369e-06,7.626267272395657e-05,-1.401713382930144e-06,-2.4753727804815247e-06,-3.17502483294818e-07,-0.00011895455599357637,-5.189461257396543e-10,-4.486623164225894e-06,2.503510865177602e-05,3.553943180912601e-08,-1.5501811483254155e-07,-7.373913879009128e-08,6.718721313391089e-09,2.1471334016693547e-06,2.8263055947082467e-06,2.7635387735674814e-07,4.938771053821227e-06,1.3026100003133792e-07,3.1509561873850573e-06,-7.306084809233605e-07,9.138780756948229e-08,7.6246470324737355e-06,5.707361451849908e-07
2006,0.00073992748150413,-3.8465941753542884e-05,-0.00011119879724743372,-9.420400972148877e-07,4.6614427242876654e-07,-9.723100430415808e-05,-5.255178105633383e-05,-1.2617288498422693e-07,-0.00010048911434006906,-2.061821818258769e-07,-8.673620017576942e-06,1.4105667440314539e-06,-5.435815991635442e-05,1.8687230993281935e-06,-1.1269613315876713e-05,2.784072183513323e-05,6.709037602472869e-10,2.274181521011166e-07,-6.181023049294001e-07,-1.768923244539068e-07,7.237139655630483e-07,5.051531920187045e-06,1.4426339432996468e-06,5.561610868413643e-06,-8.656459730334998e-08,9.020224544174444e-07,-4.985586353094226e-07,-1.588334568579871e-08,5.219358307023651e-06,1.4120131705953544e-07
2007,0.0005091426171804003,-5.934116098961582e-05,-0.00014688114362514635,-6.431737277535782e-06,1.031140604101032e-05,-0.00013082388155416806,-7.152957081062324e-05,3.826115183569646e-06,-0.00013564061086973608,1.3626049314786936e-06,-2.0247765164971353e-05,8.008818120654225e-06,-6.597606670711393e-05,6.442020404802417e-06,-1.817482189758198e-05,2.5970057809623134e-05,-4.3007086531285924e-07,1.886371108435989e-06,-2.386751387203868e-06,-1.600674847969849e-06,-5.0455114069040174e-11,7.654656262928337e-06,2.9564842934276026e-06,6.62101728637714e-06,-1.0616744850893307e-06,-5.926746843311394e-08,-3.8410322757948765e-07,-1.9863691181263817e-07,2.92363117432686e-06,4.9181105242261434e-09
2008,0.0002697585375318469,-0.00010206845399547129,-0.000189469249403897,-2.492445407033684e-05,2.3692775493178858e-05,-0.00017159318028348144,-0.00010390381251160251,1.3965851417056222e-05,0.0009249356796075623,6.88738650565031e-06,-4.265272783386491e-05,1.7410825831557473e-05,-9.652683129023721e-05,1.1809150602587958e-05,-2.9586668657467243e-05,1.535009830858032e-05,-4.186406549508675e-06,4.726647716242764e-06,-5.609576804446173e-06,-4.838753769840771e-06,-1.0216370418390553e-06,8.284782951252013e-06,3.0188643876745327e-06,5.342826036872994e-06,-1.5871634937099951e-06,-8.621832682645808e-07,-3.7476387095338874e-07,-8.769589492065171e-07,1.1064429000103942e-06,-1.2131365308477983e-08
2009,0.00013336142394333294,-0.0001586262667845643,-0.00022334585464507217,-3.759868084355256e-05,7.338651883755445e-05,-0.00020261526987592256,-0.00012016148174963598,4.285039366085292e-05,-0.00020291763919915982,3.525141333920968e-05,-6.947038340054273e-05,3.7077703090263145e-05,-6.702306679601098e-05,2.348003305091171e-05,-3.810313839576083e-05,1.0387230840151404e-05,-6.621811761565468e-06,1.0024882002715435e-05,-9.61355715934224e-06,-6.362515650485193e-06,-2.4639605025866666e-06,1.0035499563291756e-05,4.481490149958625e-06,6.06515090350641e-06,-1.2023578220144972e-06,-2.5863091572714505e-06,-2.987335746412948e-07,-1.4760839781170805e-06,1.989652630079418e-07,-3.6881232031065905e-08
